MP name,Nature of membership,Start of term,End of term,Number of terms,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,House,Paliament Term,TotalGOIRelease,UnSanctionBalance,UnspentBalance,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount,PendInstallNo,PendInstYear,ReasonsforNotRel,ReasonsforNotRel.1,Criminal Case,Total Assets,Liabilities
Dileshwar Kamait,Elected,5/23/2019,In office,1,Bihar,Supaul,Janata Dal (United),Male,Graduate,"B.A., Personnel Management, Educated at Bhagalpur University, Bhagalpur, Bihar",74,9,0,21,0.98, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-10-2019,2.5,2,1997-98,,,2,23441606,0
Virendra Singh,Elected,5/23/2019,In office,4,Uttar Pradesh,Ballia,Bharatiya Janata Party,Male,Graduate,B.A.,63,10,0,0,0.92, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-11-2019,2.5,1,2019-20,,,2,24498319,0
Anupriya Singh Patel,Elected,5/23/2019,In office,2,Uttar Pradesh,Mirzapur,Apna Dal,Female,Post Graduate,M.B.A.,38,23,0,2,0.94, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-11-2019,2.5,1,,,,2,26900662,1805603
Sanghamitra Maurya,Elected,5/23/2019,In office,1,Uttar Pradesh,Badaun,Bharatiya Janata Party,Female,Graduate Professional,Information Not Available,35,14,0,5,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-11-2019,2.5,2,2019-20,,,2,40372093,0
Kakoli Ghosh Dastidar,Elected,5/23/2019,In office,3,West Bengal,Barasat,All India Trinamool Congress,Female,Post Graduate,"M.B.B.S., Post Graduate Training in Obstetric Ultrasound; Educated at Auxilium Convent, Loreto House, R. G. Kar Medical College, King's College, London",60,7,0,1,0.79, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,5,3.44,4.97,2,2019-2020,6/3/2020,2.5,2,,,,2,40531018,1496059
Ganesh Singh,Elected,5/23/2019,In office,4,Madhya Pradesh,Satna,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B.; Educated at Awadesh Pratap Singh University,; Rewa and Law College, Satna, Madhya Pradesh",57,32,0,51,0.89, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,2.5,-0.16,0.07,1,2019-2020,31-07-2019,2.5,,,,,2,41719076,0
P.K. Kunhalikutty,Elected,5/23/2019,In office,2,Kerala,Malappuram,Indian Union Muslim League,Male,Graduate,"B.com., Diploma in Business Management, Educated at Aligarh Muslim University",68,20,0,44,0.77, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/11/2019,2.5,1,,,,2,52932535,0
Manoj Kotak Kishorbhai,Elected,5/23/2019,In office,1,Maharashtra,Mumbai-North-East,Bharatiya Janata Party,Male,10th Pass,"SSC, Matric
Educated at SMPR School, Mulund (W)",47,15,0,64,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-11-2019,2.5,1,,,,2,54661944,2048000
R.K. Singh Patel,Elected,5/23/2019,In office,2,Uttar Pradesh,Banda,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at University of Allahabad, Uttar Pradesh",60,11,0,6,0.89, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.47,2.47,1,2019-2020,20-11-2019,2.5,1,2019-20,,,2,55794086,0
Vijay Kumar Singh,Elected,5/23/2019,In office,2,Uttar Pradesh,Ghaziabad,Bharatiya Janata Party,Male,Doctorate,Phd.,68,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,21-08-2019,2.5,,,,,2,56545702,0
Shankar Lalwani,Elected,5/23/2019,In office,1,Madhya Pradesh,Indore,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,58,16,0,35,0.98, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,5,2.58,4.88,2,2019-2020,17-03-2020,2.5,1,1997-98,,,2,59038508,2106382
Sudip Bandyopadhyay,Elected,5/23/2019,In office,5,West Bengal,Kolkata Uttar,All India Trinamool Congress,Male,Graduate Professional,"B.Sc.; Educated at K.N. College, Berhampore, West Bengal",67,22,0,0,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,1,,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2,61176355,0
Jual @ Juel Oram,Elected,5/23/2019,In office,5,Odisha,Sundargarh,Bharatiya Janata Party,Male,Others,"Diploma in Electrical Engineering 
Educated at U.G.I.E., Rourkela (Orissa)",58,3,0,32,0.89, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,3/9/2019,2.5,1,,,,2,74185014,12743330
Mitesh Rameshbhai Patel,Elected,5/23/2019,In office,1,Gujarat,Anand,Bharatiya Janata Party,Male,Others,"Diploma in Telecom Engineering (Electronics & T.C.) Educated at Board of Technical Examination, Karnataka",54,11,0,19,0.91, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,14-08-2019,2.5,1,,,,2,77043053,7810840
Kisan Kapoor,Elected,5/23/2019,In office,1,Himachal Pradesh,Kangra,Bharatiya Janata Party,Male,12th Pass,Intermediate,68,2,0,0,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.3,0,4,0.99,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,27-11-2019,2.5,1,,,,2,85841247,3605161
Subhash Ramrao Bhamre,Elected,5/23/2019,In office,2,Maharashtra,Dhule,Bharatiya Janata Party,Male,Post Graduate,M.S. and Super Specialisation in Cancer Surgery,66,9,0,175,0.88, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/2/2020,2.5,1,2018-19,,,2,158651112,1000000
Keshari Devi Patel,Elected,5/23/2019,In office,1,Uttar Pradesh,Phulpur,Bharatiya Janata Party,Female,Post Graduate,"M.A., Educated at A.P.S. University, Rewa, Madhya Pradesh",63,5,0,34,0.95, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-10-2019,2.5,1,2019-20,,,2,172707104,6505194
S. Muniswamy,Elected,5/23/2019,In office,1,Karnataka,Kolar,Bharatiya Janata Party,Male,12th Pass,Information Not Available,44,12,0,46,0.83, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,1,2018-19,,,2,174557500,19865690
Chandan Singh,Elected,5/23/2019,In office,1,Bihar,Nawada,Lok Janasakti Party,Male,Graduate,Information Not Available,35,3,0,18,0.82, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-02-2020,2.5,2,2018-19,,,2,176720167,4722200
Ramesh Bidhuri,Elected,5/23/2019,In office,2,Delhi,South Delhi,Bharatiya Janata Party,Male,Graduate Professional,"B.Com., LL.B.",58,17,0,8,0.94, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.8,49,0.83,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/9/2019,2.5,1,,,,2,180052708,2038454
Raosaheb Patil Danve,Elected,5/23/2019,In office,5,Maharashtra,Jalna,Bharatiya Janata Party,Male,Graduate,"Educated at J.E.S., Jalna, Maharashtra",64,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-02-2020,2.5,1,2018-19,,,2,229557992,2400000
Sangam Lal Gupta,Elected,5/23/2019,In office,1,Uttar Pradesh,Pratapgarh,Bharatiya Janata Party,Male,8th Pass,Information Not Available,48,15,0,38,0.95, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-11-2019,2.5,1,,,,2,248789514,8895225
Veena Devi,Elected,5/23/2019,In office,1,Bihar,Vaishali,Lok Jan Shakti Party,Female,10th Pass,Information Not Available,52,3,0,14,0.94, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,1,,,,2,337284632,112089220
Shashi Tharoor,Elected,5/23/2019,In office,3,Kerala,Thiruvananthapuram,Indian National Congress,Male,Doctorate,"Ph.D., D.Litt. (Hons.), M.A., M.A.L.D. and B.A. (Hons.); Educated at St Stephen`s College, New Delhi and Fletcher School of Law and Diplomacy at Tufts University, USA",63,41,4,82,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-11-2019,2.5,2,,,,2,350022585,0
Margani Bharat Ram,Elected,5/23/2019,In office,1,Andhra Pradesh,Rajahmundry,Yuvajana Sramika Rythu Congress Party,Male,Graduate,Information Not Available,37,19,0,34,0.83, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,0.5,2.5,1,2019-2020,26-09-2019,2.5,2,2018-19,,,2,458205360,17814757
D.M. Kathir Anand,Elected,8/9/2019,In office,1,Tamil Nadu,Vellore,Dravida Munnetra Kazhagam,Male,Post Graduate,Information not available,Information not available,3,0,15,0.9, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),5.9,0.1,21,0.85,7.3,0,27,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,2,2019-2020,26-02-2020,2.5,1,2019-20,,,2,587579451,3307588
Sunil Baburao Mendhe,Elected,5/23/2019,In office,1,Maharashtra,Bhandara-Gondiya,Bharatiya Janata Party,Male,Others,Information Not Available,51,10,0,34,0.95, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,17-03-2020,2.5,1,,,,2,627543615,19861338
B.Y. Raghavendra,Elected,5/23/2019,In office,2,Karnataka,Shimoga,Bharatiya Janata Party,Male,Graduate,"B.B.M. Educated at A.T.N.C.C., Shivamogga, Karnataka",46,9,0,39,0.65, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/9/2019,2.5,1,,,,2,674093851,14150647
T.R. Paarivendhar,Elected,5/23/2019,In office,1,Tamil Nadu,Perambalur,Dravida Munnetra Kazhagam,Male,Post Graduate,Information Not Available,78,10,0,58,0.74, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-09-2019,2.5,1,1997-98,,,2,972730368,65935070
Balashowry Vallabbhaneni,Elected,5/23/2019,In office,2,Andhra Pradesh,Machilipatnam,Yuvajana Sramika Rythu Congress Party,Male,Post Graduate,B.A.,51,2,0,72,0.83, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,2.52,2.52,1,2019-2020,17-09-2019,2.5,2,2017-18,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2,990575840,746310844
S. Jagathrakshakan,Elected,5/23/2019,In office,4,Tamil Nadu,Arakkonam,Dravida Munnetra Kazhagam,Male,10th Pass,Educated at Valudvur,72,7,0,36,0.52, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/2/2020,2.5,2,-,,,2,1146984897,166365972
Ranjeetsinha Hindurao Naik Nimbalkar,Elected,5/23/2019,In office,1,Maharashtra,Madha,Bharatiya Janata Party,Male,12th Pass,Information Not Available,42,3,0,17,0.47, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-02-2020,2.5,1,2019-20,,,2,1275160578,896315287
Ramya Haridas,Elected,5/23/2019,In office,1,Kerala,Alathur,Indian National Congress,Female,10th Pass,Information Not Available,34,18,0,79,0.83, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,30-01-2020,2.5,1,,,,3,1152816,0
Pradeep Kumar Singh,Elected,5/23/2019,In office,2,Bihar,Araria,Bharatiya Janata Party,Male,10th Pass,"Bihar School Examination Board, Patna",55,9,0,50,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,11/10/2019,2.5,1,1997-98,,,3,5010577,1159200
Abu Taher Khan,Elected,5/23/2019,In office,1,West Bengal,Murshidabad,All India Trinamool Congress,Male,8th Pass,Information Not Available,58,3,0,0,0.74, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,2,-,,,3,8926616,1350000
Thirumaa Valavan Thol,Elected,5/23/2019,In office,2,Tamil Nadu,Chidambaram,Viduthalai Chiruthaigal Katchi,Male,Doctorate,"B.L., M.A. (Criminology), B.Sc. (Chemistry); Educated at Presidency College, Chennai and Madras Law College, University of Madras, Chennai",57,27,0,22,0.79, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-01-2020,2.5,1,,,,3,9244092,394248
Basanta Kumar Panda,Elected,5/23/2019,In office,1,Odisha,Kalahandi,Bharatiya Janata Party,Male,12th Pass,Information Not Available,58,8,0,16,0.92, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,1,,Eligible MPR not Received.,Eligible MPR not Received.,3,9547000,0
Mala Roy,Elected,5/23/2019,In office,1,West Bengal,Kolkata Dakshin,All India Trinamool Congress,Female,Graduate,"B. A. Educated at Calcutta University, West Bengal",62,10,0,31,0.79, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,1,,"Eligible MPR not Received, Provisional Utilisation Certificate Pending.","Eligible MPR not Received, Provisional Utilisation Certificate Pending.",3,10308401,0
Vijay Kumar,Elected,5/23/2019,In office,1,Bihar,Gaya,Janata Dal (United),Male,12th Pass,Information Not Available,Information not available,5,0,30,0.88, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/11/2019,2.5,2,2019-20,,,3,12766141,3148932
Rajendra Agrawal,Elected,5/23/2019,In office,3,Uttar Pradesh,Meerut,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Physics); Educated at M.M. (P.G.) College, Modi Nagar, Ghaziabad",70,38,0,58,0.98, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,1,,,,3,13489377,1990094
Rajkumar Chahar,Elected,5/23/2019,In office,1,Uttar Pradesh,Fatehpur Sikri,Bharatiya Janata Party,Male,Graduate,Information Not Available,52,4,0,17,0.92, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-10-2019,2.5,1,,,,3,14854247,356404
Prathap Simha,Elected,5/23/2019,In office,2,Karnataka,Mysore,Bharatiya Janata Party,Male,Post Graduate,Master in Communication and Journalism,43,2,0,20,0.86, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,5,2.5,2.5,2,2019-2020,26-02-2020,2.5,2,,,,3,18723762,6586698
Rekha Verma,Elected,5/23/2019,In office,2,Uttar Pradesh,Dhaurahra,Bharatiya Janata Party,Female,12th Pass,Intermediate,46,44,0,13,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,5,2.78,4.28,2,2019-2020,26-02-2020,2.5,1,1997-98,,,3,24735488,7095916
Bidyut Baran Mahato,Elected,5/23/2019,In office,2,Jharkhand,Jamshedpur,Bharatiya Janata Party,Male,12th Pass,I. Sc.,57,22,0,154,0.76, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.2,0.8,48,0.73,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-02-2020,2.5,1,,,,3,27750671,2961830
Kumbakudi Sudhakaran,Elected,5/23/2019,In office,2,Kerala,Kannur,Indian National Congress,Male,Post Graduate,"M.A. (History); Educated at Govt. Brennen College, Telecherry",71,9,0,32,0.83, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-12-2019,2.5,2,,,,3,29699206,7468633
Sisir Kumar Adhikari,Elected,5/23/2019,In office,3,West Bengal,Kanthi,All India Trinamool Congress,Male,12th Pass,I.Sc.,78,4,0,45,0.52, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,5,3.2,4.95,2,2019-2020,6/3/2020,2.5,1,1997-98,,,3,33979650,0
Ashwini Kumar Choubey,Elected,5/23/2019,In office,2,Bihar,Buxar,Bharatiya Janata Party,Male,Graduate,B.Sc.(Hons.) Zoology,67,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-10-2019,2.5,1,1997-98,,,3,40183612,1350667
Mahabali Singh,Elected,5/23/2019,In office,2,Bihar,Karakat,Janata Dal (United),Male,8th Pass,"High School, Bhagwanpur, Distt. Kaimur",64,12,0,34,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,1.17,2.5,1,2019-2020,8/11/2019,2.5,1,1997-98,,,3,43442051,3000000
Vinayak Bhaurao Raut,Elected,5/23/2019,In office,2,Maharashtra,Ratnagiri-Sindhudurg,Shiv Sena,Male,Post Graduate,M.A. (Political Science),65,42,0,137,0.89, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-02-2020,2.5,2,2018-19,,,3,50660534,2830000
Ravneet Singh,Elected,5/23/2019,In office,3,Punjab,Ludhiana,Indian National Congress,Male,12th Pass,"B.C.A., Educated at Guru Nanak Public School, Chandigarh and Eastern Institute for Integrated Learning in Management University, Sikkim",44,10,0,72,0.95, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11,0,24,0.76,Lok Sabha,17th Lok Sabha,2.5,2.46,2.46,1,2019-2020,1/11/2019,2.5,1,,,,3,54281096,3331266
Bhavana Pundlikrao Gawali Patil,Elected,5/23/2019,In office,5,Maharashtra,Yavatmal-Washim,Shiv Sena,Female,Graduate,"B.A. (Marathi); Educated at Amravati University, Amravati (Maharashtra) ",46,1,0,3,0.27, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,13-11-2019,2.5,1,,,,3,96873189,7396250
Jagdambika Pal,Elected,5/23/2019,In office,3,Uttar Pradesh,Domariyaganj,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Pol. Science, Modern History & Ancient History) & LL.B.; Educated at Awadh University, L.L.B., Gorakhpur University",69,39,3,70,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-02-2020,2.5,1,2019-20,,,3,103366710,2838478
Shobha Karandlaje,Elected,5/23/2019,In office,2,Karnataka,Udupi Chikmagalur,Bharatiya Janata Party,Female,Post Graduate,"M.A., MSW",53,13,0,72,0.83, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,2.5,2.45,2.45,1,2019-2020,29-11-2019,2.5,1,1998-99,,,3,104872668,49936840
K. Muraleedharan,Elected,5/23/2019,In office,4,Kerala,Vadakara,Indian National Congress,Male,Graduate,"B.A., LL.B. (Course Completed), Educated at Mar Ivnios College, Trivandrum and Law Academy, Law College, Trivandrum (Kerala)",62,17,0,53,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,0,0,0,1,2019-2020,20-03-2020,2.5,1,,,,3,114379340,0
Jadhav Prataprao Ganpatrao,Elected,5/23/2019,In office,3,Maharashtra,Buldhana,Shiv Sena,Male,12th Pass,"B.A. - II; Educated at Shri Shivaji College, Chikhil, Buldana",59,16,0,85,0.74, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-02-2020,2.5,1,2019-20,,,3,116272966,735482
Chandeshwar Prasad,Elected,5/23/2019,In office,1,Bihar,Jahanabad,Janata Dal (United),Male,10th Pass,Information Not Available,68,5,0,35,0.79, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,1,,,,3,139271693,0
Imtiaz Jaleel Syed,Elected,5/23/2019,In office,1,Maharashtra,Aurangabad,All India Majlis-E-Ittehadul Muslimeen,Male,Post Graduate,"M.Com, M.B.A., M.M.C.J., Educated at Saraswati Bhuvan College, Aurangabad, MGM's Institute of Management, Aurangabad and Dr. Babasaheb Ambedkar Marathwada University, Maharashtra",51,16,0,92,0.88, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-11-2019,2.5,1,2019-20,,,3,167895109,3746607
Nityanand Rai,Elected,5/23/2019,In office,2,Bihar,Ujiarpur,Bharatiya Janata Party,Male,Graduate,B.A. (Hons),54,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,5/2/2020,2.5,1,,,,3,187007570,357561
Manoj Tiwari,Elected,5/23/2019,In office,2,Delhi,North East Delhi,Bharatiya Janata Party,Male,Post Graduate,"I.Sc., B.A. (History), B.P.Ed., M.P.Ed.",49,9,0,74,0.8, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.8,49,0.83,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,2,1997-98,,,3,242817031,13618755
